"STATISTIC","Statistic Label","TLIST(M1)","Month","C04199V04971","Time Bands","UNIT","VALUE"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","390","14:30  <  15:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","400","15:00  <  15:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","410","15:30  <  16:00","%","45"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","420","16:00  <  16:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","430","16:30  <  17:00","%","44"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","440","17:00  <  17:30","%","43"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","450","17:30  <  18:00","%","43"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","460","18:00  <  18:30","%","44"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","470","18:30  <  19:00","%","45"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","480","19:00  <  19:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","490","19:30  <  20:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","500","20:00  <  20:30","%","47"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","510","20:30  <  21:00","%","49"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","520","21:00  <  21:30","%","50"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","530","21:30  <  22:00","%","52"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","540","22:00  <  22:30","%","53"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","550","22:30  <  23:00","%","54"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","560","23:00  <  23:30","%","54"
"MEG03C01","Renewable electricity generation percentage","202001","2020 January","570","23:30  <  00:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","100","00:00  <  00:30","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","110","00:30  <  01:00","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","120","01:00  <  01:30","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","130","01:30  <  02:00","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","140","02:00  <  02:30","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","150","02:30  <  03:00","%","63"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","160","03:00  <  03:30","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","170","03:30  <  04:00","%","64"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","180","04:00  <  04:30","%","63"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","190","04:30  <  05:00","%","63"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","200","05:00  <  05:30","%","63"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","210","05:30  <  06:00","%","63"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","220","06:00  <  06:30","%","62"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","230","06:30  <  07:00","%","62"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","240","07:00  <  07:30","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","250","07:30  <  08:00","%","60"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","260","08:00  <  08:30","%","60"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","270","08:30  <  09:00","%","59"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","280","09:00  <  09:30","%","59"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","290","09:30  <  10:00","%","58"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","300","10:00  <  10:30","%","58"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","310","10:30  <  11:00","%","59"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","320","11:00  <  11:30","%","59"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","330","11:30  <  12:00","%","60"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","340","12:00  <  12:30","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","350","12:30  <  13:00","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","360","13:00  <  13:30","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","370","13:30  <  14:00","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","380","14:00  <  14:30","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","390","14:30  <  15:00","%","60"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","400","15:00  <  15:30","%","59"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","410","15:30  <  16:00","%","58"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","420","16:00  <  16:30","%","57"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","430","16:30  <  17:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","440","17:00  <  17:30","%","53"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","450","17:30  <  18:00","%","51"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","460","18:00  <  18:30","%","51"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","470","18:30  <  19:00","%","51"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","480","19:00  <  19:30","%","52"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","490","19:30  <  20:00","%","53"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","500","20:00  <  20:30","%","54"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","510","20:30  <  21:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","520","21:00  <  21:30","%","57"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","530","21:30  <  22:00","%","59"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","540","22:00  <  22:30","%","61"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","550","22:30  <  23:00","%","62"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","560","23:00  <  23:30","%","63"
"MEG03C01","Renewable electricity generation percentage","202002","2020 February","570","23:30  <  00:00","%","64"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","100","00:00  <  00:30","%","54"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","110","00:30  <  01:00","%","54"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","120","01:00  <  01:30","%","54"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","130","01:30  <  02:00","%","54"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","140","02:00  <  02:30","%","55"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","150","02:30  <  03:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","160","03:00  <  03:30","%","55"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","170","03:30  <  04:00","%","55"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","180","04:00  <  04:30","%","55"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","190","04:30  <  05:00","%","54"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","200","05:00  <  05:30","%","52"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","210","05:30  <  06:00","%","51"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","220","06:00  <  06:30","%","50"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","230","06:30  <  07:00","%","49"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","240","07:00  <  07:30","%","48"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","250","07:30  <  08:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","260","08:00  <  08:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","270","08:30  <  09:00","%","46"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","280","09:00  <  09:30","%","47"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","290","09:30  <  10:00","%","47"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","300","10:00  <  10:30","%","49"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","310","10:30  <  11:00","%","51"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","320","11:00  <  11:30","%","52"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","330","11:30  <  12:00","%","52"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","340","12:00  <  12:30","%","52"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","350","12:30  <  13:00","%","53"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","360","13:00  <  13:30","%","53"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","370","13:30  <  14:00","%","53"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","380","14:00  <  14:30","%","53"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","390","14:30  <  15:00","%","53"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","400","15:00  <  15:30","%","52"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","410","15:30  <  16:00","%","51"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","420","16:00  <  16:30","%","50"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","430","16:30  <  17:00","%","48"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","440","17:00  <  17:30","%","46"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","450","17:30  <  18:00","%","45"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","460","18:00  <  18:30","%","44"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","470","18:30  <  19:00","%","43"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","480","19:00  <  19:30","%","43"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","490","19:30  <  20:00","%","44"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","500","20:00  <  20:30","%","45"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","510","20:30  <  21:00","%","46"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","520","21:00  <  21:30","%","47"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","530","21:30  <  22:00","%","49"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","540","22:00  <  22:30","%","51"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","550","22:30  <  23:00","%","51"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","560","23:00  <  23:30","%","52"
"MEG03C01","Renewable electricity generation percentage","202003","2020 March","570","23:30  <  00:00","%","52"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","100","00:00  <  00:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","110","00:30  <  01:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","120","01:00  <  01:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","130","01:30  <  02:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","140","02:00  <  02:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","150","02:30  <  03:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","160","03:00  <  03:30","%","35"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","170","03:30  <  04:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","180","04:00  <  04:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","190","04:30  <  05:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","200","05:00  <  05:30","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","210","05:30  <  06:00","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","220","06:00  <  06:30","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","230","06:30  <  07:00","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","240","07:00  <  07:30","%","29"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","250","07:30  <  08:00","%","28"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","260","08:00  <  08:30","%","27"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","270","08:30  <  09:00","%","28"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","280","09:00  <  09:30","%","28"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","290","09:30  <  10:00","%","29"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","300","10:00  <  10:30","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","310","10:30  <  11:00","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","320","11:00  <  11:30","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","330","11:30  <  12:00","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","340","12:00  <  12:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","350","12:30  <  13:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","360","13:00  <  13:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","370","13:30  <  14:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","380","14:00  <  14:30","%","35"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","390","14:30  <  15:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","400","15:00  <  15:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","410","15:30  <  16:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","420","16:00  <  16:30","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","430","16:30  <  17:00","%","29"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","440","17:00  <  17:30","%","29"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","450","17:30  <  18:00","%","28"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","460","18:00  <  18:30","%","27"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","470","18:30  <  19:00","%","27"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","480","19:00  <  19:30","%","26"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","490","19:30  <  20:00","%","26"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","500","20:00  <  20:30","%","27"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","510","20:30  <  21:00","%","28"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","520","21:00  <  21:30","%","29"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","530","21:30  <  22:00","%","30"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","540","22:00  <  22:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","550","22:30  <  23:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","560","23:00  <  23:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202004","2020 April","570","23:30  <  00:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","100","00:00  <  00:30","%","37"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","110","00:30  <  01:00","%","38"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","120","01:00  <  01:30","%","38"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","130","01:30  <  02:00","%","38"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","140","02:00  <  02:30","%","38"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","150","02:30  <  03:00","%","38"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","160","03:00  <  03:30","%","37"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","170","03:30  <  04:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","180","04:00  <  04:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","190","04:30  <  05:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","200","05:00  <  05:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","210","05:30  <  06:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","220","06:00  <  06:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","230","06:30  <  07:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","240","07:00  <  07:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","250","07:30  <  08:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","260","08:00  <  08:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","270","08:30  <  09:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","280","09:00  <  09:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","290","09:30  <  10:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","300","10:00  <  10:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","310","10:30  <  11:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","320","11:00  <  11:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","330","11:30  <  12:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","340","12:00  <  12:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","350","12:30  <  13:00","%","38"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","360","13:00  <  13:30","%","40"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","370","13:30  <  14:00","%","40"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","380","14:00  <  14:30","%","40"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","390","14:30  <  15:00","%","40"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","400","15:00  <  15:30","%","39"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","410","15:30  <  16:00","%","37"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","420","16:00  <  16:30","%","37"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","430","16:30  <  17:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","440","17:00  <  17:30","%","35"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","450","17:30  <  18:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","460","18:00  <  18:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","470","18:30  <  19:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","480","19:00  <  19:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","490","19:30  <  20:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","500","20:00  <  20:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","510","20:30  <  21:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","520","21:00  <  21:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","530","21:30  <  22:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","540","22:00  <  22:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","550","22:30  <  23:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","560","23:00  <  23:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202005","2020 May","570","23:30  <  00:00","%","37"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","100","00:00  <  00:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","110","00:30  <  01:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","120","01:00  <  01:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","130","01:30  <  02:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","140","02:00  <  02:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","150","02:30  <  03:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","160","03:00  <  03:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","170","03:30  <  04:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","180","04:00  <  04:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","190","04:30  <  05:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","200","05:00  <  05:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","210","05:30  <  06:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","220","06:00  <  06:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","230","06:30  <  07:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","240","07:00  <  07:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","250","07:30  <  08:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","260","08:00  <  08:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","270","08:30  <  09:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","280","09:00  <  09:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","290","09:30  <  10:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","300","10:00  <  10:30","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","310","10:30  <  11:00","%","31"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","320","11:00  <  11:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","330","11:30  <  12:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","340","12:00  <  12:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","350","12:30  <  13:00","%","34"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","360","13:00  <  13:30","%","35"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","370","13:30  <  14:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","380","14:00  <  14:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","390","14:30  <  15:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","400","15:00  <  15:30","%","37"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","410","15:30  <  16:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","420","16:00  <  16:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","430","16:30  <  17:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","440","17:00  <  17:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","450","17:30  <  18:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","460","18:00  <  18:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","470","18:30  <  19:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","480","19:00  <  19:30","%","35"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","490","19:30  <  20:00","%","35"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","500","20:00  <  20:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","510","20:30  <  21:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","520","21:00  <  21:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","530","21:30  <  22:00","%","32"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","540","22:00  <  22:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","550","22:30  <  23:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","560","23:00  <  23:30","%","33"
"MEG03C01","Renewable electricity generation percentage","202006","2020 June","570","23:30  <  00:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","100","00:00  <  00:30","%","39"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","110","00:30  <  01:00","%","39"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","120","01:00  <  01:30","%","39"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","130","01:30  <  02:00","%","40"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","140","02:00  <  02:30","%","39"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","150","02:30  <  03:00","%","39"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","160","03:00  <  03:30","%","38"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","170","03:30  <  04:00","%","37"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","180","04:00  <  04:30","%","36"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","190","04:30  <  05:00","%","36"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","200","05:00  <  05:30","%","34"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","210","05:30  <  06:00","%","33"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","220","06:00  <  06:30","%","32"
"MEG03C01","Renewable electricity generation percentage","202007","2020 July","230","06:30  <  07:00","%","30"
